All,Wszystko
"RMA Authorization Email Template","Szablon wiadomości e-mail z autoryzacją RMA"
"RMA Authorization Email Template for Guest","Szablon wiadomości e-mail z autoryzacją RMA dla Gościa"
"Send RMA Authorization Email Copy To","Wyślij kopię wiadomości e-mail z autoryzacją RMA do"
"Send RMA Authorization Email Copy Method","Wysyłanie wiadomości e-mail z autoryzacją RMA"
"RMA Admin Comments","Komentarze RMA Administratora"
"RMA Comment Email Sender","Nadawca wiadomości e-mail z komentarzem RMA"
"RMA Comment Email Template","Szablon wiadomości e-mail z komentarzem RMA"
"RMA Comment Email Template for Guest","Szablon wiadomości e-mail z komentarzem RMA dla Gościa"
"Send RMA Comment Email Copy To","Wyślij kopię wiadomości e-mail z komentarzem RMA do"
"RMA Customer Comments","Komentarze RMA Klienta"
"RMA Comment Email Recipient","Odbiorca wiadomości e-mail z komentarzem RMA"
"Enabled for RMA","Włączone dla RMA"
"Move to Archive","Przenieść do archiwum"
"Move to Order Management","Przenieść do zarządzania zamówieniami"
"We have archived the order.","Zamówienie zostało zarchiwizowane."
"Please specify the order ID to be archived.","Określ identyfikator zamówienia do zarchiwizowania."
"Credit Memos","Faktury korygujące"
Invoices,Faktury
"We archived %1 order(s).","Zarchiwizowaliśmy %1 zamówień."
"We can't archive the selected order(s).","Nie można archiwizować wybranego zamówienia."
"We removed %1 order(s) from the archive.","Usunęliśmy %1 zamówień z archiwum."
Orders,Zamówienia
"We have removed the order from the archive.","Usunęliśmy zamówienie z archiwum."
"Please specify the order ID to be removed from archive.","Określ identyfikator zamówienia które ma być usunięte z archiwum."
Shipments,Dostawy
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Istnieje %1 zamówień w tym archiwum. Wszystkie z nich zostaną przeniesione do tabeli regularnej po  wyłączaniu archiwum."
"Restore from Archive","Przywróć z archiwum"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archiwizacja zamówień, faktur, wysyłek, faktur korygujących"
"Enable Archiving","Włącz archiwizowanie"
"Archive Orders Purchased","Archiwum zamówień"
"Order Statuses to be Archived","Statusy zamówień zostaną zarchiwizowane"
"Mass Add","Dodawanie masowe"
"Sales Archive","Archiwum sprzedaży"
"All Store Views","Wszystkie widoki sklepu"
"Purchased From","Kupiono od"
"PDF Credit Memos","Pobierz fakturę korygującą"
"Credit Memo","Faktura korygująca"
"Order Date","Data zamówienia"
"Bill-to Name","Rachunek na"
"Billing Address","Adres rozliczeniowy"
"Payment Method","Metoda płatności"
"Shipping & Handling","Wysyłka i obsługa"
"Adjustment Refund","Zwrot manipulacyjny"
"Adjustment Fee","Opłata manipulacyjna"
"Return to Order Management","Wróć do zarządzania zamówieniami"
Hold,Wstrzymaj
Unhold,Odblokuj
"Print Invoices","Drukuj faktury"
"Print Packing Slips","Drukuj dokumenty dostawy"
"Print Credit Memos","Drukuj faktury korygujące"
"Print All","Drukuj wszystko"
"Print Shipping Labels","Drukuj etykiety adresowe"
"Remove to Archive",Archiwizuj
"Purchase Date","Data zakupu"
"Ship-to Name","Dostawa do"
"Customer Email","E-mail klienta"
"Shipping and Handling","Dostawa i obsługa"
"Total Refunded","Łącznie zwrócono"
"PDF Invoices","Pobierz fakturę"
Invoice,Faktura
"Invoice Date","Data wystawienia"
"PDF Shipments","Wysyłki PDF"
Shipment,Dostawa
"Ship Date","Data wysyłki"
"Total Quantity","Całkowita ilość"
"Go to Archive","Przejdź do archiwum"
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2"
"Public In RSS Feed","Publiczne w kanale RSS"
"Maximum Qty Discount is Applied To","Maksymalna zniżka ilościowa jest stosowana dla"
"Discount Qty Step (Buy X)","Kroki ilości zniżek (kup X)"
"Apply to Shipping Amount","Zastosuj do kosztu dostawy"
Labels,Etykiety
"Default Rule Label for All Store Views","Etykieta dla wszystkich widoków sklepu"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","The cart price rule will be removed from the update and all scheduled changes will be lost."
"Fatal Error","Błąd krytyczny"
"Advanced Inventory","Stan magazynowy"
"Manage Stock","Zarządzaj stanami"
"Out-of-Stock Threshold","Przedział dla braku w magazynie"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Allow Multiple Boxes for Shipping","Zezwól na dzielenie wysyłki"
Backorders,Rezerwacje
"Use deferred Stock update","Za pomocą odroczonego czas aktualizacji"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Qty Increments","Zwiększanie ilości"
"Stock Availability","Dostępność towaru"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Add Scheduled Export","Dodaj zaplanowany eksport"
"Add Scheduled Import","Dodaj zaplanowany import"
"Scheduled Import/Export","Zaplanowany import/eksport"
"Please correct the scheduled operation type.","Proszę poprawić rodzaj zaplanowanej operacji."
"Entity Type","Rodzaj obiektu"
"Server Type","Typ serwera"
"File Directory","Katalog pliku"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Dla typu ""Lokalnego serwera"" użyć ścieżki względnej do instalacji Magento, np. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","Host FTP[:Port]"
"User Name","Nazwa użytkownika"
"File Mode","Tryb pliku"
"Passive Mode","Tryb pasywny"
"Failed Email Receiver","Nie powiodło się odebranie wiadomości E-mail"
"Failed Email Sender","Nadanie wiadomości E-mail nie powiodło się"
"Failed Email Template","Niepowodzenie szablonu Email"
"Send Failed Email Copy To","Wyślij kopię e-maila do"
"Send Failed Email Copy Method","Metoda błędnej wysyłki kopii e-maila"
"Export Settings","Ustawienia eksportu"
"Export File Information","Informacje o pliku eksportu"
"Export Failed Emails","Eksport wiadomości E-mail nie powiódł się"
"File Format","Format pliku"
"Entity Attributes","Cechy jednostki"
"Import Settings","Ustawienia importu"
"Import File Information","Informacje o pliku eksportu"
"Import Failed Emails","Eksport wiadomości E-mail nie powiódł się"
"Import Behavior","Zachowanie importu"
"Field separator","Separator pól"
"Multiple value separator","Wiele wartości separatora"
"On Error",Błąd
"File Name","Nazwa pliku"
"Images File Directory","Katalog plików obrazów"
"Clean Now","Czyść teraz"
"Scheduled Imports/Exports","Zaplanowany import/eksport"
"The operation ran.","Uruchomione operacje."
"We can't run the operation right now, see error log for details.","Nie można uruchomić operacji teraz, zobacz szczegóły w dzienniku błędów."
"We can't delete the scheduled operation right now.","Nie można teraz usunąć zaplanowanej operacji."
"No valid data sent","Nie przesłano poprawnych danych"
"You deleted the history files.","Pliki historii zostały usunięte."
"We can't delete the history files right now.","Nie można teraz usunąć plików historii."
"A total of %1 record(s) have been updated.","Zaktualizowano %1 rekordów."
"We cannot change status for all items.","Nie można zmienić stanu wszystkich produktów."
"You deleted a total of %1 record(s).","Usunięto w sumie %1 rekord(ów)."
"We can't delete all the items right now.","Nie można teraz usunąć wszystkich przedmiotów."
"We can't save the scheduled operation right now.","Nie można teraz zapisać zaplanowanej operacji."
"We can't create directory ""%1""","Nie możemy utworzyć katalogu ""%1"""
"The directory ""%1"" is not writable.","Katalog ""%1"" nie jest zapisywalny."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
"Scheduled Import","Harmonogram Importu"
"New Scheduled Import","Nowe harmonogram Importu"
"Scheduled Export","Harmonogram exportu"
"New Scheduled Export","Nowy harmonogram exportu"
"You saved the scheduled import.","Zapisałeś zaplanowany import."
"You saved the scheduled report.","Zapisałeś zaplanowany raport."
"You deleted the scheduled import.","Usunąłeś zaplanowany import."
"You deleted the scheduled export.","Usunąłeś zaplanowany eksport."
"Are you sure you want to delete this scheduled import?","Czy na pewno chcesz usunąć ten harmonogram importu?"
"Are you sure you want to delete this scheduled export?","Czy na pewno chcesz usunąć ten harmonogram exportu?"
"We were unable to save the cron expression.","Nie mogliśmy zapisać wyrażenia cron."
"Unable to delete the cron task.","Nie można usunąć zadania cron."
"Please correct the cron job task","Proszę poprawić zadanie działania cron"
"File has been not created","Nie utworzono pliku"
"Something went wrong and the operation failed.","Coś poszło nie tak i operacja nie powiodła się."
"We can't read the file source because the file name is empty.","Nie możemy odczytać pliku źródłowego, ponieważ nazwa pliku jest pusta."
"Connecting to server","Łączenie z serwerem"
"Reading import file","Czytanie pliku importu"
"We can't read the import file.","Nie można odczytać pliku importu."
"Save history file content ""%1""","Zapisywanie zawartości pliku historii ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Zapisywanie zawartości pliku"
"Please correct the server type.","Popraw typ serwera."
"Import path %1 not exists","Ścieżka %1 nie istnieje"
"We can't read the file.","Nie można odczytać pliku."
"We can't save the file history file.","Nie można zapisać historii pliku."
"Unknown file format","Nieznany format pliku"
"Local Server","Serwer lokalny"
"Remote FTP","Zdalny FTP"
Binary,Binarny
ASCII,ASCII
"Stop Import","Zatrzymaj Import"
"Continue Processing","Kontynuuj przetwarzanie"
Successful,"Zakończona pomyślnie"
"Can not open file","Nie można otworzyć pliku"
"%store_name - Scheduled Export Failed","%store_name - Scheduled Export Failed"
"%operation_name - Scheduled Export Failed","%operation_name - według harmonogramu exportu nie powiodło się"
"Operation name:","Nazwa operacji:"
"Entity type:","Typ jednostki:"
"File history path:","Ścieżka pliku historii:"
"Date & Time:","Data i czas:"
"Log trace:","Ślad błędu:"
"Scheduled Import/Export File History Cleanup Warnings","Ostrzeżenia czyszczenia plików historii zaplanowanych importów/eksportów"
"%store_name  - Scheduled Import Failed","%store_name  - Scheduled Import Failed"
"%operation_name - Scheduled Import Failed","%operation_name - zaplanowany import nie powiódł się"
"Scheduled Import/Export File History Cleaning","Zaplanowane czyszczenie plików historii zaplanowanych importów/eksportów"
"Save Files, Days","Zapisz pliki, dni"
"Enable Scheduled File History Cleaning","Zezwól na zaplanowane czyszczenie plików historii"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"Are you sure you want to delete the selected scheduled imports/exports?","Czy jesteś pewien, że chcesz usunąć te zaplanowane importy / eksporty?"
Operation,Operacja
"Last Run","Ostatnie uruchomienie"
"Last Outcome","Ostatni wynik"
"Advanced Search","Wyszukiwanie zaawansowane"
"Search Terms","Wyszukiwane frazy"
"Account Activity","Aktywność na koncie"
"All other open sessions for this account were terminated.","Wszystkie inne otwarte sesje dla tego konta zostały zakończone."
"We couldn't logout because of an error.","Nie można wylogować z powodu błędu."
"Someone logged into this account from another device or browser. Your current session is terminated.","Ktoś zalogował się na to konto z innej przeglądarki lub urządzenia. Twoja bieżąca sesja zostaje zakończona."
"Your current session is terminated by another user of this account.","Twoja obecna sesja została zakończona przez innego użytkownika tego konta."
"Your account is temporarily disabled.","Twoje konto jest tymczasowo wyłączone."
"Your current session has been expired.","Twoja obecna sesja wygasła."
"By IP and Email","Przez IP i E-mail"
"By IP","Przez IP"
"By Email","Przez E-mail"
"Too many password reset requests. Please wait and try again or contact %1.","Zbyt wiele żądań zresetowania hasła. Proszę poczekać i spróbować ponownie później, lub skontaktować się z %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Nieprawidłowe sprawdzanie zabezpieczeń klasy. Ma do wykonania SecurityCheckerInterface"
"some error","jakiś błąd"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","To konto administratorskie jest otwarte w więcej niż jedna lokalizacja. Miej na uwadze, iż inne lokacje obejmują także różne przeglądarki czy sesje na tym samym komputerze."
"Concurrent session information:","Informacje o równoległej sesji:"
"Time of session start","Czas rozpoczęcia sesji"
"Are you sure that you want to log out all other sessions?","Czy na pewno chcesz wylogować wszystkie inne sesje?"
"Log out all other sessions","Wszystkie inne sesje zostały wylogowane"
"This computer is using IP address %1.","Ten komputer używa adresu IP %1."
"Admin Account Sharing","Udostępnianie konta administratora"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Jeśli ustawiona na tak, możesz zalogować się z wielu komputerów do tego samego konta. Domyślne ustawienie nie jest bezpieczne."
"Password Reset Protection Type","Rodzaj ochrony resetowania hasła"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Ogranicz liczbę żądań zresetowania hasła na godzinę. Użyj 0 by wyłączyć limit."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Opóźnienie w minutach między żądaniami zresetowania hasła. Użyj 0 by wyłączyć opóźnienie."
Declined,Declined
Canceled,Canceled
"In Review","In Review"
Unrequested,Unrequested
"This order already has associated case entity","This order already has associated case entity"
"The case entity should not be empty.","The case entity should not be empty."
"Cannot update Case entity.","Cannot update Case entity."
"The ""%1"" should not be empty.","The ""%1"" should not be empty."
"Case entity not found.","Case entity not found."
"Case Update: New score for the order is %1. Previous score was %2.","Case Update: New score for the order is %1. Previous score was %2."
"Awaiting the Signifyd guarantee disposition.","Awaiting the Signifyd guarantee disposition."
"Only single entrance of ""%1"" node is required.","Only single entrance of ""%1"" node is required."
"Not empty value for ""%1"" node is required.","Not empty value for ""%1"" node is required."
"%1 must implement %2","%1 must implement %2"
"Cannot generate message.","Cannot generate message."
"Message is generated.","Message is generated."
"Case with the same order id already exists.","Case with the same order id already exists."
"Fraud Protection Information","Fraud Protection Information"
"Signifyd Guarantee Decision","Signifyd Guarantee Decision"
"Fraud Protection Section","Fraud Protection Section"
"Fraud Protection","Fraud Protection"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Protect your store from fraud with Guaranteed Fraud Protection by Signifyd."
"API Key","API Key"
"API URL","API URL"
"Webhook URL","Webhook URL"
"This search no longer exists.","To wyszukiwanie już nie istnieje."
"Final commit","Ostateczne zatwierdzanie"
"Partial commit","Częściowe zatwierdzanie"
"Engine autocommit","Automatyczne zatwierdzanie indeksowania przez silnik"
"Solr Server Hostname","Solr serwer hosta"
"Solr Server Port","Solr port serwera"
"Solr Server Username","Solr nazwa użytkownika serwera"
"Solr Server Password","Solr hasło serwera"
"Solr Server Timeout","Solr maksymalny czas połączenia"
"Solr Server Path","Solr ścieżka serwera"
"Without starting and trailing slashes.","Bez początkowych i końcowych ukośników."
"Indexation Mode","Tryb indeksowania"
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Uwaga: Tryb przyrostowego zatwierdzania wpływa na czas indeksowania, ale pozwala indeksować produkty, które mają być widoczne w widoku sklepu przed zakończeniem indeksacji."
"Remove from Update","Usuń z aktualizacji"
"Schedule New Update","Zaplanuj nową aktualizację"
"View Specific Date","Zobacz określoną datę"
"Date & Time","Data i czas"
"This update not exists.","Aktualizacja nie istnieje."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Future Update in this time range already exists. 
                            Select a different range to add a new Future Update."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Zmień istniejącą aktualizację"
"Assign to Another Update","Assign to Another Update"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","Usunięto ten %1 z aktualizacji i zapisano go w innej."
"%1 is required parameter.","%1 jest wymaganym parametrem."
"You removed this %1 from the update.","Usunięto ten %1 z aktualizacji."
"You removed this %1 from the update and saved it in a new one.","Usunięto ten %1 z aktualizacji i zapisano go w nowej."
"Invalid action type %1.","Nieprawidłowy typ akcji %1."
"Invalid action.","Nieprawidłowa akcja."
"Invalid parameter %1.","Nieprawidłowy parametr %1."
"Something went wrong while removing the %1.","Coś się zepsuło podczas usuwania %1."
"The 'mode' value is unexpected.","Wartość 'mode' nie jest obsługiwana."
"You saved this %1 update.","Zapisano aktualizację %1."
"Something went wrong while saving the %1.","Coś się zepsuło podczas zapisywania %1."
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class must implement ActionDataProviderInterface","Action class must implement ActionDataProviderInterface"
entity_type,entity_type
"Delete Update","Delete Update"
"Please select Name for Future Update.","Proszę wybrać nazwę przyszłej aktualizacji."
"Please select Start Time for Future Update.","Proszę wybrać czas rozpoczęcia przyszłej aktualizacji."
"Future Update Start Time cannot be earlier than current time.","Czas rozpoczęcia przyszłej aktualizacji nie może być wcześniejszy niż czas obecny."
"Future Update End Time cannot be equal or earlier than Start Time.","Czas zakończenia przyszłej aktualizacji musi wypadać później niż jej czas rozpoczęcia."
"Future Update End Time cannot be earlier than current time.","Future Update End Time cannot be earlier than current time."
"Update with id ""%1"" does not exist.","Aktualizacja o identyfikatorze ""%1"" nie istnieje."
"Active update can not be deleted","Active update can not be deleted"
"Start time could not be changed while update active","Start time could not be changed while update active"
"Unable to save Future Update.","Nie można zapisać przyszłej aktualizacji."
Test,Test
"Test Exception","Test Exception"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Panel admina Magento"
Calendar,Kalendarz
"Belongs to","Należy do"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Please confirm scope switching. All data that hasn't been saved will be lost."
"Share Preview Link","Share Preview Link"
Staging,Przechodzenie
"Create New Update","Create New Update"
Includes,Zawiera
"Backup Log Details","Szczegóły logów backupu"
"Requested system report has no data to output.","Żądany raport nie ma żadnych danych do wyświetlenia."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Czy na pewno chcesz usunąć raport systemu?"
Download,Pobierz
"Go to Top","Przejdź do góry"
"System Report Information","System raportów informacji"
"Requested system report has no data to display.","Żądany raport systemu nie ma danych do wyświetlenia."
"Output path %1 doesn't exist","Wyjście %1 ścieżki nie istnieje"
"Unknown DB param: %1","Nieznany parametr DB: %1"
"Paths file already exists","Ścieżka pliku już istnieje"
"Paths file cannot be created","Nie można utworzyć ścieżki pliku"
"Please select item(s).","Wybierz produkty."
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów."
Support,"Wsparcie techniczne"
"Data Collector","Modułów zbierający dane"
"The backup has been saved.","Kopia zapasowa została zapisana."
"Failed to save backup with error: %1","Podczas próby zapisu kopii zapasowej wystąpił błąd: %1"
"An error occurred while saving backup","Wystąpił błąd podczas zapisywania kopii zapasowej"
"All processes should be complete","Wszystkie procesy powinny być wykonane"
"Wrong param id","Niewłaściwy parametr Id"
"The backup has been deleted.","Kopia zapasowa została usunięta."
"Cannot delete backup","Nie można usunąć kopii zapasowej"
"File does not exist","Plik nie istnieje"
"Log Details","Szczegóły logów"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Wystąpił błąd podczas masowego usuwania danych kolektora kopii zapasowych. Przejrzyj logi i spróbuj ponownie."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Po wybraniu opcji, kliknij przycisk ""Utwórz"". Następnie zaczekaj aż zostanie wygenerowany raport systemu. Może to potrwać kilka minut. Otrzymasz powiadomienie po zakończeniu tego etapu."
"Create System Report","Utwórz raport systemu"
"Unable to find a system report to delete.","Nie można odnaleźć raportu systemu, aby go usunąć."
"The system report has been deleted.","Raport systemu został usunięty."
"An error occurred while deleting the system report. Please review log and try again.","Wystąpił błąd podczas usuwania raportu systemu. Przejrzyj logi i spróbuj ponownie."
"Requested system report no longer exists.","Żądany raport systemu już nie istnieje."
"Unable to read system report data to display.","Nie można odczytać danych raportu systemu aby go wyświetlić."
"No groups were specified to generate system report.","Nie zostały określone grupy do wygenerowania raportu systemu."
"The system report has been generated.","Został wygenerowany raport systemu."
"An error occurred while the system report was being created. Please review the log and try again.","Wystąpił błąd podczas tworzenia raportu systemu. Przejrzyj logi i spróbuj ponownie."
"System Reports","Raport systemu"
"An error occurred during mass deletion of system reports. Please review log and try again.","Wystąpił błąd podczas masowego usuwania raportów systemu. Przejrzyj logi i spróbuj ponownie."
"Utility %1 not found","Narzędzie %1 nie znaleziono"
"Unknown utility: %1","Nieznane narzędzie: %1"
"Cannot set root directory.","Nie można ustawić katalogu głównego."
"Support Module doesn't support %s operation system","Moduł nie wspiera systemu operacyjnego %s"
"Unable to create backup due to php exec function is disabled","Nie można utworzyć kopii zapasowej z php exec funkcja jest wyłączona"
Incomplete,Niekompletne
Complete,Zakończone
"Directory %s should have writable & readable permissions","Katalog %s powinien mieć uprawnienia zapisu i odczytu"
Windows,Windows
"OS X","OS X"
"Unknown Status","Nieznany status"
"Processing ...","Przetwarzanie ..."
(now),(teraz)
"[%1 minutes ago]","[%1 minut temu]"
"[%1 hours ago]","[%1 godzin temu]"
"[%1 days ago]","[%1 dni temu]"
"[%1 weeks ago]","[%1 tygodni temu]"
"[%1 months ago]","[%1 miesięcy temu]"
"[%1 years ago]","[%1 lat temu]"
"And more...","I więcej..."
"Column %1","Kolumny %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Przygotowanie systemu danych raportu: wykryto tryb pojedynczego wiersza, ale dane mogą być niepełne."
"All Eav Attributes","Wszystkie atrybuty Eav"
"Category Eav Attributes","Atrybuty Kategorii Eav"
"Customer Address Eav Attributes","Atrybuty adresu użytkownika Eav"
"Customer Eav Attributes","Atrybuty użytkownika Eav"
"Entity Types","Typ jednostki"
Model,Model
"Attribute Model","Model cechy"
"Increment Model","Model obsługi przyrostu"
"Main Table","Główna tabela"
"Additional Attribute Table","Tabela dodatkowych cech"
"New Eav Attributes","Nowe cechy EAV"
"Product Eav Attributes","Cechy EAV produktu"
"Rma Item Eav Attributes","Rma produkt Eav atrybuty"
"User Defined Eav Attributes","Cechy EAV zdefiniowane przez użytkownika"
Value,Wartość
"Data from app/etc/env.php","Dane z app/etc/env.php"
"Is Gateway","Adres bramy"
Void,Unieważniony
"For Checkout","Dla Wysyłki"
"For Multishipping","Dla Multi wysyłki"
"Capture Online","Przechwyć online"
"Partial Capture Online","Częściowe przechwytywania Online"
"Refund Online","Zwróć online"
"Partial Refund Online","Częściowy zwrot Online"
"Capture Offline","Przechwyć offline"
"Partial Capture Offline","Częściowe przechwytywania w trybie Offline"
"Refund Offline","Zwróć offline"
"Partial Refund Offline","Częściowy zwrot w trybie Offline"
"Payments Functionality Matrix","Funkcjonalność Matrix Płatności"
"Payment Methods","Metody płatności"
"Shipping Methods","Metody dostawy"
"Job Code","Kod zadania"
"Cron Expression","Wyrażenie Cron"
"Run Class","Uruchom klasę"
"Run Method","Uruchom metodę"
"Group Code","Kod grupy"
"All Configurable Cron Jobs","Wszystkie konfigurowalne działania Crona"
"All Global Cron Jobs","Wszystkie globalne zadania Crona"
"Cron Schedules List","Harmonogram listy Crona"
"Schedule Id","Harmonogram Id"
"Scheduled At","Zaplanowane w"
"Executed At",Wykonano
"Finished At",Zakończono
"Core Configurable Cron Jobs","Rdzeń konfigurowalnych działań Crona"
"Core Global Cron Jobs","Rdzeń globalnych zadań Crona"
"Cron Schedules by job code","Harmonogramy prac kodu Crona"
Count,Licznik
"Cron Schedules by status code","Harmonogram statusu kodu Crona"
"Status Code","Kod statusu"
"Custom Configurable Cron Jobs","Indywidualne konfigurowalne działania Crona"
"Custom Global Cron Jobs","Indywidualne globalne zadania Crona"
"Errors in Cron Schedules Queue","Błędy w planach kolejki Crona"
"Corrupted Categories Data","Uszkodzone kategorje danych"
Id,ID
"Expected Children Count","Przewidywana liczba dzieci"
"Actual Children Count","Aktualna liczba dzieci"
"Expected Level","Przewidywany poziom"
"Actual Level","Rzeczywisty poziom"
"Duplicate Categories By URL Key","Duplikuj kategorie po kluczu URL"
"URL key","Klucz URL"
"Duplicate Orders By Increment Id","Zduplikowane zamówienia przez przyrost Id"
"Increment Id","Identyfikator przyrostowy"
"Customer Id","Identyfikator klienta"
"Duplicate Products By SKU","Duplikuj produkty po SKU"
"Duplicate Products By URL Key","Duplikuj produkty po kluczu URL"
"Duplicate Users By Email","Duplikuj użytkowników po e-mailu"
Parent,Rodzic
"Adminhtml Themes List","Lista tematów Adminhtml"
"Frontend Themes List","Lista tematów frontend"
"Event Name","Nazwa zdarzenia"
"Observer Class","Klasa obserwatora"
Method,Metoda
"All Admin Events","Wszystkie zdarzenia administracyjne"
"All Crontab Events","Wszystkie wydarzenia Crontab"
"All Doc Events","Wydarzenia ""Cały dzień"""
"All Frontend Events","Wszystkie wydarzenia Frontend"
"All Global events","Wszystkie globalne zdarzenia"
"All REST Events","Wszystkie zdarzenia dla REST"
"All SOAP Events","Wszystkie zdarzenia protokołu SOAP"
"Core Admin Events","Rdzeń zdarzenia administracyjne"
"Core Crontab Events","Rdzeń wydarzenia Crontab"
"Core Doc Events","Rdzeń ""Cały dzień"""
"Core Frontend Events","Rdzeń wydarzenia Frontend"
"Core Global Events","Rdzeń wydarzenia Global"
"Core REST Events","Rdzeµ zdarzeń dla REST"
"Core SOAP Events","Rdzeń zdarzenia protokołu SOAP"
"Custom Admin Events","Zdarzenia niestandardowe Admin"
"Custom Crontab Events","Zdarzenia niestandardowe Crontab"
"Custom Doc Events","Zdarzenia niestandardowe Doc"
"Custom Frontend Events","Zdarzenia niestandardowe Frontend"
"Custom Global Events","Zdarzenia niestandardowe Global"
"Custom REST Events","Zdarzenia niestandardowe REST"
"Custom SOAP Events","Zdarzenia niestandardowe SOAP"
"Log Files","Pliki logów"
Size,Rozmiar
"Log Entries","Wpisy dziennika"
"Last Update","Ostatnia aktualizacja"
"Today's Top Debug Messages","Dzisiejsze, najważniejsze wiadomości debugowania"
"Last Occurrence","Ostatnie wystąpienie"
"Today's Top Exception Messages","Dzisiejsze, najważniejsze wiadomości wyjątków"
"Stack Trace","Zrzut stosu"
"Today's Top System Messages","Dzisiejsze, najważniejsze wiadomości systemowe"
"Top Debug Messages","Górny komunikaty Debugowania"
"Top Exception Messages","Wyjątek w górnej wiadomości"
"Top System Messages","Górne komunikaty systemowe"
"Store Views List","Lista widoku sklepu"
"Stores List","Lista sklepów"
"Root Category","Kategoria bazowa"
"Default Store View","Domyślny widok sklepu"
"Websites List","Lista stron internetowych"
"Default Store","Domyślny sklep"
"Websites Tree","Drzewo stron internetowych"
"There was an error while loading system report data.","Wystąpił błąd podczas ładowania systemu danych raportu."
"Cannot save backup. The reason is: Utility lsof not found","Nie można zapisać kopii zapasowej. Powód: narzędzie lsof nie zostało znalezione"
"Test error","Błąd testowy"
"Error message!","Komunikat błędu!"
"User Defined","Zdefiniowane przez użytkownika"
"Entity Type Code","Typ kodu obiektu"
"Source Model","Model źródłowy"
"Backend Model","Model administracyjny"
"Frontend Model","Model interfejsu klienta"
"Show Log","Pokaż Log"
"Delete ""%1""","Usuń ""%1"""
"Are you sure you want to delete a ""%1"" record?","Czy na pewno chcesz usunąć rekord ""%1""?"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Brak logów"
"Backup ID:","ID kopii zapasowej:"
Collapse,Zwiń
Expand,Rozwiń
"(no data)","(brak danych)"
Top,"Na górze"
"No data","Brak danych"
"Support Data Collector","Support Data Collector"
"Support System Report","System wsparcia raportu"
"System Report","Raport systemu"
Data,Dane
Modules,Moduły
Logs,Logi
Cron,Cron
Stores,Sklepy
"New Backup","Nowa kopia zapasowa"
"Refresh Status","Odśwież Status"
"Are you sure you want to delete selected item(s)?","Czy na pewno chcesz usunąć wszystkie zaznaczone towary?"
"Delete items","Usuń pozycje"
"Code Dump","Kopia kodu"
"DB Dump","Kopia bazy danych"
